"ORIGFDCD","ORIGFDNM","ENGFDNAM","ORIGGPCD","SCINAM"
2073.00,"Ananas, pur jus","Pineapple juice","19","Ananas comosus"
2074.00,"Pomme, pur jus","Apple juice","19",
2075.00,"Légumes, pur jus (aliment moyen)","Vegetable juice (average)","AM",
2375.00,"Orange, nectar","Orange nectar","19",
4002.00,"Pomme de terre, sans peau, cuite au four","Potato, baked","17",
4003.00,"Pomme de terre, cuite à l'eau","Potato, boiled","17",
4004.00,"Pomme de terre, chips salées","Potato crisp (US=chip), salted","17",
4010.00,"Pomme de terre frite ou Frite, surgelée, cuite, non salée","Potato chip (french fry), frozen, cooked, not salted","17",
4016.00,"Pomme de terre, flocons déshydratés au lait","Potato flakes with milk, dry","17",
4018.00,"Pomme de terre, purée, avec lait et beurre, non salée","Mashed potatoes, prepared with milk and butter, not salted","17",
5000.00,"Bière brune","Beer, dark","23.1",
5003.00,"Cidre (aliment moyen)","Cider (average)","AM",
5006.00,"Cidre brut","Cider, dry","23.2",
5007.00,"Cidre doux","Cider, sweet","23.2",
5020.00,"Cidre traditionnel","Cider, traditionnal","23.2",
5030.00,"Bière sans alcool (<1,2° alcool)","Beer, alcohol-free","23.1",
5100.00,"Pétillant de fruits","Sparkling fruit wine","23.3",
8291.00,"Terrine de poisson","Pâté, fish","13.2",
8292.00,"Pâté à base de poisson ou de crustacés","Pâté, fish or shellfish","13.2",
8293.00,"Tarama préemballé","Tarama, semi-preserve","13.2",
8295.00,"Mousse de poisson","Fish mousse","13.2",
8296.00,"Terrine ou mousse de légumes","Vegetable terrines and mousses","25.3",
8305.00,"Pâté de foie de porc","Pâté, pork liver","12",
8313.00,"Mousse de foie","Liver mousse","12",
8316.00,"Pâté de foie de volaille","Pâté, poultry liver","12",
8320.00,"Bloc de foie gras de canard, appertisé","Foie gras, canned","12",
8322.00,"Foie gras de canard, appertisé ou pasteurisé","Foie gras, duck, whole, canned","12",
8350.00,"Galantine","Galantine","12",
8391.00,"Pâté en croûte","Pâté in crust","12",
8395.00,"Jambon en croûte","Ham in crust, cooked","12",
8400.00,"Fromage de tête","Head-cheese (Brawn)","12",
8406.00,"Museau de porc vinaigrette","Pork brawn vinaigrette","12",
8500.00,"Andouille","Chitterling sausage","12",
8601.00,"Tripes à la mode de Caen","Tripes à la mode de Caen","25.1",
1000.00,"Pastis","Anis spirit","23.4",
1001.00,"Eau de vie","Brandy","23.4",
1002.00,"Gin","Gin","23.4",
1003.00,"Liqueur","Liqueur","23.4",
1004.00,"Rhum","Rum","23.4",
1005.00,"Whisky","Whisky","23.4",
1006.00,"Vin doux","Port or Sherry","23.3",
1007.00,"Apéritif à base de vin ou vermouth","Wine-based aperitif","23.5",
1008.00,"Vodka","Vodka","23.4",
1011.00,"Apéritif anisé sans alcool","Anis spirit, alcohol free","23.5",
2000.00,"Ananas, jus à base de concentré","Pineapple juice, reconstituted","19","Ananas comosus (L.) Merr."
2006.00,"Carotte, pur jus","Carrot juice","19","Daucus carota"
2007.00,"Citron, jus pressé maison","Lemon juice, raw, unsweetened","19","Citrus limon (L.) Burm.f."
2012.00,"Orange, jus à base de concentré","Orange juice, reconstituted","19","Citrus sinensis (L.) Osb."
2013.00,"Orange, jus pressé maison","Orange juice, raw, homemade","19","Citrus sinensis (L.) Osb."
2014.00,"Pomme, jus à base de concentré","Apple juice, reconstituted","19",
2015.00,"Pamplemousse (pomélo), jus à base de concentré","Grapefruit juice, reconstituted","19","Citrus paradisi MacFad."
2016.00,"Raisin, pur jus","Grape juice","19","Vitis vinifera"
2021.00,"Tomate, pur jus","Tomato juice","19","Solanum lycopersicum L"
2025.00,"Pamplemousse (pomélo), jus frais","Grapefruit juice, raw, unsweetened","19","Citrus paradisi MacFad."
2027.00,"Pamplemousse (pomélo), pur jus","Grapefruit juice","19","Citrus paradisi MacFad."
2031.00,"Citron vert, pur jus","Lime juice, unsweetened","19","Citrus aurantiifolia (Christm.) Swingle."
2035.00,"Jus multifruit, pur jus, standard","Fruit juice, mixed","19",
2043.00,"Abricot, nectar","Apricot nectar","19",
2054.00,"Poire, nectar","Pear nectar, pasteurized","19",
2061.00,"Nectar multifruit, standard","Fruit nectar","19",
2069.00,"Jus multifruit, à base de concentré","Fruit nectar, reconstituted","19",
2070.00,"Orange, pur jus","Orange juice, pure","19",
5200.00,"Vin blanc 11°","Wine, white 11°","23.3",
5201.00,"Vin blanc mousseux","Wine, white sparkling","23.3",
5202.00,"Vin rouge 9°","Wine, red  9°","23.3",
5203.00,"Vin rouge 10°","Wine, red 10°","23.3",
5204.00,"Vin rouge 11°","Wine, red 11°","23.3",
5205.00,"Vin rouge 12°","Wine, red 12°","23.3",
5207.00,"Champagne","Champagne","23.3",
5208.00,"Vin rouge 13°","Wine, red 13°","23.3",
6100.00,"Boeuf, entrecôte, grillée","Beef, rib steak, broiled","09",
6103.00,"Boeuf, entrecôte, crue","Beef, rib steak, raw","09",
6110.00,"Boeuf, faux-filet, grillé","Beef, lean steak, grilled","09",
6111.00,"Boeuf, faux-filet, cru","Beef, sirloin, raw","09",
6121.00,"Boeuf, flanchet, cuit","Beef flank, broiled","09",
6200.00,"Boeuf, bifteck, grillé","Beef, rump steak, broiled","09",
6210.00,"Boeuf, rosbif, rôti","Roast beef, cooked","09",
6220.00,"Boeuf, à bourguignon, cuit","Beef, for bourguignon, braised","09",
6230.00,"Boeuf, à pot-au-feu, cuit","Beef, stewing steak, cooked","09",
6250.00,"Steak haché  5% MG, cru","Beef, ground,  5% fat, raw","09",
6251.00,"Steak haché  5% MG, cuit","Beef, ground,  5% fat, cooked","09",
6252.00,"Steak haché 10% MG, cru","Beef, ground, 10% fat, raw","09",
