"ORIGFDCD","ORIGCPCD","SELVALtexte","VALMIN","VALMAX","N","CCEUROFIR","RANG","SOURCE"
19600.00,25003.00,"4,06",,,,"D",853,54419
17999.00,41833.00,"0",,,,"D",1305,54419
17999.00,42046.00,"0",,,,"D",899,54419
17999.00,42053.00,"0",,,,"D",986,54419
17999.00,42263.00,"0",,,,"D",904,54419
18001.00,32000.00,"0",,,,"D",1137,54419
18001.00,33110.00,"0",,,,"D",966,54419
18001.00,34000.00,"0",,,,"D",250,54419
18001.00,40302.00,"0",,,1.00,"D",1442,20034
18001.00,40303.00,"0",,,1.00,"D",1443,20035
18001.00,40304.00,"0",,,1.00,"D",1442,20036
18001.00,40400.00,"0",,,1.00,"D",1258,20037
18001.00,40600.00,"0",,,1.00,"D",1253,20038
18001.00,40800.00,"0",,,1.00,"D",1280,20039
18001.00,41000.00,"0",,,1.00,"D",1149,20040
18001.00,41200.00,"0",,,1.00,"D",1388,20041
18001.00,41400.00,"0",,,1.00,"D",1406,20042
18001.00,41600.00,"0",,,1.00,"D",1417,20043
18001.00,41800.00,"0",,,1.00,"D",1408,20044
18001.00,41819.00,"0",,,1.00,"D",1335,20045
18001.00,41826.00,"0",,,1.00,"D",1332,20046
18001.00,41833.00,"0",,,1.00,"D",1336,20047
18001.00,42046.00,"0",,,1.00,"D",1097,20048
18001.00,42053.00,"0",,,1.00,"D",1299,20049
18001.00,42263.00,"0",,,1.00,"D",1229,20050
18008.00,40302.00,"0",,,,"D",1333,54419
18008.00,40303.00,"0",,,,"D",1338,54419
18008.00,40304.00,"0",,,,"D",1337,54419
18008.00,40400.00,"0",,,,"D",788,54419
18008.00,40600.00,"0",,,,"D",781,54419
18008.00,40800.00,"0",,,,"D",864,54419
18008.00,41000.00,"0",,,,"D",873,54419
18008.00,41200.00,"0",,,,"D",1102,54419
18008.00,41400.00,"0",,,,"D",1224,54419
18008.00,41600.00,"0",,,,"D",1299,54419
18008.00,41800.00,"0",,,,"D",1285,54419
18008.00,41819.00,"0",,,,"D",1218,54419
18008.00,41826.00,"0",,,,"D",1215,54419
18008.00,41833.00,"0",,,,"D",1210,54419
18008.00,42046.00,"0",,,,"D",750,54419
18008.00,42053.00,"0",,,,"D",805,54419
18008.00,42263.00,"0",,,,"D",699,54419
18009.00,40302.00,"0",,,,"D",1365,54419
18009.00,40303.00,"0",,,,"D",1370,54419
18009.00,40304.00,"0",,,,"D",1369,54419
18009.00,40400.00,"0",,,,"D",820,54419
18009.00,40600.00,"0",,,,"D",813,54419
18009.00,40800.00,"0",,,,"D",896,54419
18009.00,41000.00,"0",,,,"D",905,54419
18009.00,41200.00,"0",,,,"D",1134,54419
18009.00,41400.00,"0",,,,"D",1256,54419
18009.00,41600.00,"0",,,,"D",1331,54419
18009.00,41800.00,"0",,,,"D",1317,54419
18009.00,41819.00,"0",,,,"D",1250,54419
18009.00,41826.00,"0",,,,"D",1247,54419
18009.00,41833.00,"0",,,,"D",1242,54419
18009.00,42046.00,"0",,,,"D",782,54419
18009.00,42053.00,"0",,,,"D",837,54419
18009.00,42263.00,"0",,,,"D",731,54419
18010.00,40302.00,"0",,,2.00,"D",1427,20224
18010.00,40303.00,"0",,,2.00,"D",1430,20225
18010.00,40304.00,"0",,,2.00,"D",1429,20226
18010.00,40400.00,"0",,,,"D",1001,54419
18010.00,40600.00,"0",,,,"D",993,54419
18010.00,40800.00,"0",,,,"D",1070,54419
18010.00,41000.00,"0",,,,"D",1032,54419
18010.00,41200.00,"0",,,,"D",1260,54419
18010.00,41400.00,"0",,,,"D",1342,54419
18010.00,41600.00,"0",,,,"D",1396,54419
18010.00,41800.00,"0",,,,"D",1384,54419
18010.00,41819.00,"0",,,,"D",1316,54419
18010.00,41826.00,"0",,,,"D",1313,54419
18010.00,41833.00,"0",,,,"D",1311,54419
18010.00,42046.00,"0",,,,"D",944,54419
18010.00,42053.00,"0",,,,"D",1048,54419
18010.00,42263.00,"0",,,,"D",966,54419
18018.00,40302.00,"0",,,1.00,"D",1441,20333
18018.00,40303.00,"0",,,1.00,"D",1442,20334
18018.00,40304.00,"0",,,1.00,"D",1441,20335
18018.00,40400.00,"0",,,0.00,"D",1257,20336
18018.00,40600.00,"0",,,0.00,"D",1252,20337
18018.00,40800.00,"0",,,0.00,"D",1279,20338
18018.00,41000.00,"0",,,,"D",1148,54419
18018.00,41200.00,"0",,,0.00,"D",1387,20339
18018.00,41400.00,"0",,,0.00,"D",1405,20340
18018.00,41600.00,"0",,,0.00,"D",1416,20341
18018.00,41800.00,"0",,,0.00,"D",1407,20342
18018.00,41819.00,"0",,,,"D",1334,54419
18018.00,41826.00,"0",,,,"D",1331,54419
18018.00,41833.00,"0",,,,"D",1335,54419
18018.00,42046.00,"0",,,,"D",1096,54419
18018.00,42053.00,"0",,,0.00,"D",1298,20343
18018.00,42263.00,"0",,,0.00,"D",1228,20344
18019.00,40302.00,"0",,,3.00,"D",1318,20380
18019.00,40303.00,"0",,,3.00,"D",1323,20381
18019.00,40304.00,"0",,,3.00,"D",1324,20382
20252.00,51200.00,"< 21",,,1.00,"A",416,54419
20253.00,51200.00,"< 21",,,1.00,"A",417,54419
24689.00,51200.00,"< 21",,,1.00,"A",401,54419
42501.00,51200.00,"179",,,1.00,"A",110,54419
42603.00,51200.00,"< 21",,,1.00,"A",413,54419
42604.00,51200.00,"< 21",,,1.00,"A",414,54419
42605.00,51200.00,"< 21",,,1.00,"A",412,54419
13157.00,51330.00,"39,2",2.07,199.00,1.00,"A",465,16844
13158.00,51330.00,"48,4",1.13,499.00,1.00,"B",442,16864
13159.00,51330.00,"13,1",2.50,45.40,1.00,"A",606,16884
13160.00,51330.00,"< 10",,,1.00,"A",638,16897
13161.00,51330.00,"496",232.00,496.00,1.00,"A",104,16913
13162.00,51330.00,"< 10",,,1.00,"A",639,54419
13164.00,51330.00,"< 10",8.59,18.00,1.00,"A",642,16935
13165.00,51330.00,"< 10",5.29,18.00,1.00,"A",641,16957
13166.00,51330.00,"27",12.20,27.00,1.00,"A",535,16979
13167.00,51330.00,"604",,,1.00,"A",85,54419
13168.00,51330.00,"< 10",,,1.00,"A",640,54419
13173.00,51330.00,"12,8",,,1.00,"A",611,54419
19012.00,51330.00,"< 10",,,1.00,"A",645,54419
19013.00,51330.00,"< 10",,,1.00,"A",643,54419
19014.00,51330.00,"< 10",,,1.00,"A",644,54419
20246.00,51330.00,"1720",223.00,5930.00,1.00,"A",30,28584
20247.00,51330.00,"302",8.72,3060.00,2.00,"A",135,28606
20248.00,51330.00,"1430",515.00,3630.00,1.00,"B",37,28628
20249.00,51330.00,"560",32.40,4170.00,1.00,"B",94,28650
20250.00,51330.00,"804",256.00,3470.00,1.00,"B",58,28672
20251.00,51330.00,"618",142.00,1760.00,1.00,"A",84,28694
20252.00,51330.00,"650",52.80,650.00,1.00,"A",83,28716
20253.00,51330.00,"726",52.80,726.00,1.00,"A",73,28736
24689.00,51330.00,"< 10",,,1.00,"A",637,54419
42501.00,51330.00,"< 10",,,1.00,"A",647,54419
42603.00,51330.00,"965",55.50,4560.00,1.00,"A",47,51459
42604.00,51330.00,"870",2.60,3980.00,1.00,"A",52,51484
42605.00,51330.00,"517",12.30,2230.00,1.00,"A",97,51509
13161.00,52100.00,"1,38",1.30,1.60,1.00,"A",85,16914
13164.00,52100.00,"< 0,5",0.02,0.09,1.00,"A",257,16936
13165.00,52100.00,"< 0,5",0.02,0.04,1.00,"A",255,16958
13166.00,52100.00,"< 0,5",0.02,0.09,1.00,"A",256,16980
13167.00,52100.00,"1,9",,,1.00,"A",63,16999
13168.00,52100.00,"3,77",7.50,10.00,1.00,"A",36,17018
13173.00,52100.00,"1,53",,,1.00,"A",75,17039
19012.00,52100.00,"1,6",0.90,1.50,1.00,"A",72,21899
19013.00,52100.00,"1,08",0.85,38.00,1.00,"A",116,21923
19014.00,52100.00,"1,2",0.85,38.00,1.00,"A",93,21947
20246.00,52100.00,"< 0,5",0.01,0.02,1.00,"A",302,28585
